MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
HURTO A PERSONAS ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 28 DE FEBRERO DE AÑO 2022;;;;;;;
ARMAS MEDIO;DEPARTAMENTO ;MUNICIPIO;FECHA  HECHO ;GENERO;*AGRUPA EDAD PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;03/01/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;14/01/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;28/01/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;29/01/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;01/02/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;03/02/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;04/02/2022;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;07/02/2022;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;10/02/2022;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;12/02/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;14/02/2022;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;18/02/2022;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;27/02/2022;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DABEIBA;05/02/2022;MASCULINO;ADULTOS;05234000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;20/01/2022;MASCULINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL SANTUARIO;06/01/2022;FEMENINO;ADULTOS;05697000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENTRERRIOS;09/01/2022;FEMENINO;ADULTOS;05264000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;02/01/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;16/01/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;17/01/2022;FEMENINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;18/01/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;19/01/2022;MASCULINO;ADULTOS;05266000;1
